CONCEPT;QUANTITY;UNIT
Thermal self sufficiency:;0.27;	% ;
Energy consumption saving: ;272,949.39;	% ;
Primary energy saving: ;1,144,281.00;	% ;
Balance economics: ;;	% ;
SOLAR PANEL ;;;
Solar panel type:  ;PVT panel;	% ;
Panel Surface: ;264.00;  % ;
Thermal yearly efficiency:  ;0.15;	% ;
Thermal production:  ;173,683.47;	% ;
 Electrical production:  ;78,733.12;	% ;
Production ratio:  ;657.89;	% ;
HEAT PUMP  ; ; ;
Heat Pump:  ;97.50;	% ;
Yearly COP:  ;3.68;	% ;
Energy consumption:  ;47,092.50;	% ;
AUXILIARY SYSTEM ;; ;
Auxiliary System:  ;Gas Boiler;	% ;
Yearly Efficiency:   ;;	% ;
Energy consumption:   ;830,400.00;	% ;
SEASONAL STORAGE SYSTEM  ; ; ;
Storage System:    ;Water;	% ;
Storage Volume:     ;100.00;	% ;
Max. Temperature(2 years):    ;25.06;	% ;
Min. Temperature(2 years):     ;7.87;	% ;
Autonomy Days:     ;140.79;	% ;
LOSSES     ; ; ;
Thermal losses:     ;0.01;	% ;
Total losses:     ;6,160.89;	% ;
Direct Tank Use losses:     ;439.31;	% ;
Storage Deposit losses:      ;203.64;	% ;
Distribution losses:      ;93.73;	% ;
